Place_index,Place_name,Coordinates,Neighbors_indice,Neighbors_weight
1,Mellat Park,"35.77808,51.41011","5,11,13","1,1,2"
2,Arghavan Park,"35.78647,51.45938","5,12","2,1"
3,Baqiatallah Hospital,"35.75600,51.39518","6,13,14","1,1,2"
4,ICRO,"35.74450,51.42702","5,7,12","2,2,1"
5,Pazriz Hotel,"35.76505,51.42059","1,4,12,13","2,1,1,2"
6,Sadaf Swimming Pool,"35.74677,51.38968","3,8,14","2,1,2"
7,Dey General Hospital,"35.74826,51.41158","4,9,14","4,1,1"
8,Tehran Heart Center,"35.72094,51.38793","6,10","2,2"
9,Salmas Square,"35.72364,51.40231","7,10,15","1,1,1"
10,Tehran Museum of Contemporary Art,"35.71205,51.39064","8,9,15","3,2,1"
11,Enghelab Sports Complex,"35.78404,51.39777","1,13","1,2"
12,Paris Center,"35.77014,51.45982","2,4,5","2,1,1"
13,Sheikh Bahaei Square,"35.76625,51.39534","1,3,5","2,1,2"
14,Mom Fertility and Infertility Center,"35.74840,51.40151","3,6,7","3,2,1"
15,Raees Coffe,"35.72177,51.42273","9,10","1,1"
